launch_id,launch_time_utc,Location,Status Mission,label_prelim,Datum,latitude,longitude
70,2019-12-16 07:22:00+00:00,"LC-3, Xichang Satellite Launch Center, China",Success,OK,"Mon Dec 16, 2019 07:22 UTC",28.246,102.026
71,2019-12-11 17:55:00+00:00,"Blue Origin Launch Site, West Texas, Texas, USA",Success,OK,"Wed Dec 11, 2019 17:55 UTC",,
72,2019-12-11 09:55:00+00:00,"First Launch Pad, Satish Dhawan Space Centre, India",Success,OK,"Wed Dec 11, 2019 09:55 UTC",,
73,2019-12-11 08:54:00+00:00,"Site 43/3, Plesetsk Cosmodrome, Russia",Success,OK,"Wed Dec 11, 2019 08:54 UTC",62.9256,40.577
74,2019-12-07 08:52:00+00:00,"Site 9401 (SLS-2), Jiuquan Satellite Launch Center, China",Success,OK,"Sat Dec 07, 2019 08:52 UTC",40.96,100.298
75,2019-12-07 02:55:00+00:00,"Taiyuan Satellite Launch Center, China",Success,OK,"Sat Dec 07, 2019 02:55 UTC",38.849,111.608
76,2019-12-06 09:34:00+00:00,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",Success,OK,"Fri Dec 06, 2019 09:34 UTC",45.9647,63.305
77,2019-12-06 08:18:00+00:00,"Rocket Lab LC-1A, M?hia Peninsula, New Zealand",Success,OK,"Fri Dec 06, 2019 08:18 UTC",,
78,2019-12-05 17:29:00+00:00,"SLC-40, Cape Canaveral AFS, Florida, USA",Success,OK,"Thu Dec 05, 2019 17:29 UTC",28.396837,-80.605659
79,2019-11-27 23:52:00+00:00,"LC-9, Taiyuan Satellite Launch Center, China",Success,OK,"Wed Nov 27, 2019 23:52 UTC",38.849,111.608
80,2019-11-27 03:58:00+00:00,"Second Launch Pad, Satish Dhawan Space Centre, India",Success,OK,"Wed Nov 27, 2019 03:58 UTC",,
81,2019-11-26 21:23:00+00:00,"ELA-3, Guiana Space Centre, French Guiana, France",Success,OK,"Tue Nov 26, 2019 21:23 UTC",,
82,2019-11-25 17:52:00+00:00,"Site 43/4, Plesetsk Cosmodrome, Russia",Success,OK,"Mon Nov 25, 2019 17:52 UTC",62.9256,40.577
83,2019-11-23 00:55:00+00:00,"LC-3, Xichang Satellite Launch Center, China",Success,OK,"Sat Nov 23, 2019 00:55 UTC",28.246,102.026
84,2019-11-17 10:00:00+00:00,"Site 95, Jiuquan Satellite Launch Center, China",Success,OK,"Sun Nov 17, 2019 10:00 UTC",40.96,100.298
85,2019-11-13 06:35:00+00:00,"LC-16, Taiyuan Satellite Launch Center, China",Success,OK,"Wed Nov 13, 2019 06:35 UTC",38.849,111.608
86,2019-11-13 03:40:00+00:00,"Site 95, Jiuquan Satellite Launch Center, China",Success,OK,"Wed Nov 13, 2019 03:40 UTC",40.96,100.298
87,2019-11-11 14:56:00+00:00,"SLC-40, Cape Canaveral AFS, Florida, USA",Success,OK,"Mon Nov 11, 2019 14:56 UTC",28.396837,-80.605659
88,2019-11-04 17:43:00+00:00,"LC-2, Xichang Satellite Launch Center, China",Success,OK,"Mon Nov 04, 2019 17:43 UTC",28.246,102.026
89,2019-11-03 03:22:00+00:00,"LC-9, Taiyuan Satellite Launch Center, China",Success,OK,"Sun Nov 03, 2019 03:22 UTC",38.849,111.608
90,2019-11-02 13:59:00+00:00,"LP-0A, Wallops Flight Facility, Virginia, USA",Success,OK,"Sat Nov 02, 2019 13:59 UTC",37.8337,-75.4881
91,2019-10-26 17:40:00+00:00,"Vertical Launch Area, Spaceport America, New Mexico",Failure,Atrasado,"Sat Oct 26, 2019 17:40 UTC",,
92,2019-10-17 15:21:00+00:00,"LC-3, Xichang Satellite Launch Center, China",Success,OK,"Thu Oct 17, 2019 15:21 UTC",28.246,102.026
93,2019-10-17 01:22:00+00:00,"Rocket Lab LC-1A, M?hia Peninsula, New Zealand",Success,OK,"Thu Oct 17, 2019 01:22 UTC",,
94,2019-10-11 01:59:00+00:00,"Stargazer, Cape Canaveral AFS, Florida, USA",Success,OK,"Fri Oct 11, 2019 01:59 UTC",28.396837,-80.605659
95,2019-10-09 10:17:00+00:00,"Site 200/39, Baikonur Cosmodrome, Kazakhstan",Success,OK,"Wed Oct 09, 2019 10:17 UTC",45.9647,63.305
